antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'SKU_264715'}),frozenset({'SKU_9402188'}),0.012312400847969225,0.011245419702649202,0.000645804377430541,0.052451539338654506,4.664258046882674,0.0005073462623478731,1.0434870841405255
frozenset({'SKU_2783996'}),frozenset({'SKU_3619770'}),0.02873829479565907,0.005110278117059063,0.0006738828286231731,0.02344894968246214,4.588585815747516,0.0005270221496073242,1.0187790198571185
frozenset({'SKU_3619770'}),frozenset({'SKU_2783996'}),0.005110278117059063,0.02873829479565907,0.0006738828286231731,0.13186813186813184,4.588585815747515,0.0005270221496073242,1.1187951287796838
frozenset({'SKU_3988011'}),frozenset({'SKU_3898011'}),0.008844712125679147,0.018012326440073567,0.0007300397310084376,0.08253968253968255,4.582399881230747,0.0005707258889322279,1.070332585368086
frozenset({'SKU_3898011'}),frozenset({'SKU_3988011'}),0.018012326440073567,0.008844712125679147,0.0007300397310084376,0.04053000779423227,4.582399881230747,0.0005707258889322279,1.0330237484506528
frozenset({'SKU_3611367'}),frozenset({'SKU_3998011'}),0.006640553707057519,0.01781577728172514,0.000533490572660012,0.080338266384778,4.509388791427385,0.00041518394678774105,1.0679842237833197
frozenset({'SKU_3998011'}),frozenset({'SKU_3611367'}),0.01781577728172514,0.006640553707057519,0.000533490572660012,0.029944838455476748,4.509388791427385,0.00041518394678774105,1.0240236696553566
frozenset({'SKU_3998011'}),frozenset({'SKU_3898011'}),0.01781577728172514,0.018012326440073567,0.0013898833340352946,0.07801418439716312,4.331155370557702,0.001068979737853215,1.0650789382457664
frozenset({'SKU_3898011'}),frozenset({'SKU_3998011'}),0.018012326440073567,0.01781577728172514,0.0013898833340352946,0.07716289945440374,4.331155370557702,0.001068979737853215,1.0643094237732658
frozenset({'SKU_3524026'}),frozenset({'SKU_3978011'}),0.033048337053728116,0.04217383369133359,0.00602282778081961,0.1822429906542056,4.3212336821932125,0.004629052710140543,1.1712845690860263
frozenset({'SKU_3978011'}),frozenset({'SKU_3524026'}),0.04217383369133359,0.033048337053728116,0.00602282778081961,0.14280958721704393,4.3212336821932125,0.004629052710140543,1.1280476875691654
frozenset({'SKU_4108011'}),"frozenset({'SKU_6318344', 'SKU_3978011'})",0.038355164329135605,0.003692316331831136,0.0005896474750452766,0.015373352855051247,4.163606655940857,0.00044802807538274215,1.0118634170191216
"frozenset({'SKU_6318344', 'SKU_3978011'})",frozenset({'SKU_4108011'}),0.003692316331831136,0.038355164329135605,0.0005896474750452766,0.1596958174904943,4.163606655940856,0.00044802807538274215,1.1444008677893094
frozenset({'SKU_4208011'}),frozenset({'SKU_9277426'}),0.019556641255668337,0.011090988221089724,0.0008985104381642309,0.04594400574300072,4.142462765909112,0.0006816079603535359,1.0365314171617923
frozenset({'SKU_9277426'}),frozenset({'SKU_4208011'}),0.011090988221089724,0.019556641255668337,0.0008985104381642309,0.0810126582278481,4.142462765909111,0.0006816079603535359,1.0668736272837769
frozenset({'SKU_3161221'}),frozenset({'SKU_2571221'}),0.021072877620070478,0.006415926097516461,0.000533490572660012,0.025316455696202528,3.945877073927374,0.00039828854718763126,1.019391452445405
frozenset({'SKU_2571221'}),frozenset({'SKU_3161221'}),0.006415926097516461,0.021072877620070478,0.000533490572660012,0.08315098468271334,3.945877073927374,0.00039828854718763126,1.0677081024525723
